C4烯烃收率,温度,Co/SiO2浓度,Co/SiO2溶液量,HAP浓度,HAP溶液量
0.082917139,353,100,1,100,0.9
0.356970547,394,200,2,200,1.68
0.359939435,407,200,2,200,1.68
0.006636548,360,50,1,90,1.68
0.116042496,363,50,1,50,0.9
0.017269812,294,200,2,200,0.3
0.051724143,334,50,1,50,0.9
0.001182612,255,50,1,50,1.68
0.37967217,405,200,0.5,200,1.68
0.014625567,317,50,1,50,1.68
0.021734996,301,200,2,200,0.3
0.130534723,338,200,1,200,1.68
0.062683511,295,200,2,200,1.68
0.319549511,406,200,2,200,0.3
0.003570298,350,50,1,90,1.68
0.453214288,442,200,0.5,200,1.68
0.001687216,274,67,1,33,1.68
0.004716643,311,33,1,67,1.68
0.028367151,336,50,1,50,1.68
0.436514962,427,200,0.5,200,1.68
0.000357311,277,10,1,10,1.68
0.043405457,331,200,2,200,0.3
0.006671122,272,50,1,50,0.9
0.036993522,422,50,1,90,1.68
0.003932404,270,100,1,100,0.9
0.26536736,395,200,2,200,0.3
0.015401063,354,25,1,25,1.68
0.219298627,361,200,1,200,1.68
0.043203664,435,50,5,20,2.1
0.022423784,302,200,2,200,0.3
0.204191039,360,200,0.5,200,1.68
0.01112414,253,200,2,200,1.68
0.070889168,330,50,1,50,0.3
0.028575657,384,10,1,10,1.68
0.454861938,439,200,5,200,1.68
0.160860698,448,50,1,50,2.1
0.013934702,307,75,1,75,1.68
0.09419642,343,50,1,50,0.3
0.255749403,444,100,1,100,1.68
0.020624073,335,67,1,33,1.68
0.004949099,274,100,1,100,0.9
0.097721073,392,67,1,33,1.68
0.344804193,395,200,0.5,200,1.68
0.001208192,252,75,1,75,1.68
0.316787817,385,200,1,200,1.68
0.041335053,426,50,5,20,2.1
0.028245016,314,50,1,50,0.9
0.009432681,353,10,1,10,1.68
0.107304329,394,33,1,67,1.68
0.027812013,320,100,1,100,0.9
0.468754591,405,200,1,200,0.9
0.014404755,293,50,1,50,0.9
0.00075545,267,25,1,25,1.68
0.139392166,416,67,1,33,1.68
0.359229381,409,200,2,200,1.68
0.021204637,281,200,1,200,0.9
0.333485548,379,200,1,200,0.9
-4.77E-05,256,50,5,20,2.1
0.001953916,265,75,1,75,1.68
0.01907502,318,200,5,200,1.68
0.016195129,378,50,5,20,2.1
0.005282027,356,50,1,90,1.68
0.093247945,389,50,1,50,2.1
0.315352633,440,200,1,200,1.68
0.174990027,446,33,1,67,1.68
0.029153847,345,67,1,33,1.68
0.02212104,335,50,1,50,2.1
0.002324409,276,100,1,100,1.68
0.001258639,256,75,1,75,1.68
0.171233307,435,33,1,67,1.68
0.021022836,279,50,1,50,0.3
0.094063645,377,50,1,50,1.68
0.004814508,288,50,1,50,1.68
0.264090993,433,75,1,75,1.68
0.052368947,369,50,1,50,2.1
0.453225716,449,200,0.5,200,1.68
0.007423838,297,50,1,50,1.68
-3.36E-05,264,50,5,20,2.1
0.003661122,292,67,1,33,1.68
0.18343493,403,100,1,100,1.68
0.325084814,372,200,2,200,1.68
0.100712552,372,50,1,50,1.68
0.074006745,352,200,2,200,0.3
0.266624628,435,75,1,75,1.68
0.000743608,281,25,1,25,1.68
0.302365858,384,200,0.5,200,1.68
0.000228621,321,50,1,90,1.68
0.011508826,317,50,1,50,2.1
0.002567144,256,200,1,200,1.68
0.003814785,286,100,1,100,1.68
0.166050719,429,33,1,67,1.68
0.217120266,419,50,1,50,2.1
0.255816761,445,100,1,100,1.68
0.005520711,276,100,1,100,0.9
0.046999818,312,50,1,50,0.3
0.371239732,423,200,1,200,1.68
0.160294739,424,33,1,67,1.68
0.003214495,295,33,1,67,1.68
0.001564797,261,50,1,50,1.68
0.040218939,377,25,1,25,1.68
0.092196889,342,50,1,50,0.3
0.016499563,297,50,1,50,0.9
0.014865372,379,50,1,90,1.68
0.021621545,387,50,5,20,2.1
0.51348569,424,200,1,200,0.9
0.003503404,291,67,1,33,1.68
0.174917837,447,33,1,67,1.68
0.412131128,416,200,0.5,200,1.68
0.000951105,291,25,1,25,1.68
0.180170861,444,67,1,33,1.68
0.365100435,444,50,1,50,0.3
0.007229134,266,200,0.5,200,1.68
0.034133554,358,50,1,50,2.1
0.306351633,385,200,0.5,200,1.68
0.473881848,443,200,1,200,0.9
0.352111626,397,200,0.5,200,1.68
0.004846099,312,33,1,67,1.68
0.063964218,375,50,1,50,2.1
0.054236557,370,50,1,50,2.1
0.016869666,341,33,1,67,1.68
0.045942396,298,200,1,200,0.9
0.314864246,405,200,2,200,0.3
0.270192179,373,200,1,200,1.68
0.000111845,279,50,1,90,1.68
0.119562023,400,33,1,67,1.68
0.013028617,321,50,1,50,2.1
0.013110561,314,50,1,50,1.68
0.036385849,328,100,1,100,0.9
0.326332801,432,200,2,200,1.68
0.001159171,254,50,1,50,2.1
0.020702646,304,50,1,50,0.9
0.045836011,447,50,1,90,1.68
0.021543928,361,25,1,25,1.68
0.03056743,402,50,5,20,2.1
0.011353359,333,33,1,67,1.68
0.052861815,290,200,1,200,1.68
0.421878633,424,200,5,200,1.68
0.023814326,276,200,1,200,1.68
0.353787611,438,50,1,50,0.3
0.026013695,307,200,2,200,0.3
0.016514407,272,200,1,200,1.68
0.07606904,305,200,1,200,1.68
0.344934153,383,200,2,200,1.68
0.002170053,270,50,1,50,2.1
0.197699892,407,50,1,50,1.68
0.116265383,353,50,1,50,0.3
0.298287715,361,200,2,200,1.68
0.002054192,305,25,1,25,1.68
0.15582413,368,50,1,50,0.3
0.026149469,339,50,1,50,2.1
0.208491748,382,200,5,200,1.68
0.007038712,250,200,1,200,1.68
0.00018996,276,50,5,20,2.1
0.226702181,420,100,1,100,1.68
0.008131796,269,200,0.5,200,1.68
0.10764745,362,100,1,100,0.9
0.00025833,290,50,1,90,1.68
0.358752474,410,200,2,200,1.68
0.04569227,351,50,1,50,1.68
0.080555068,425,10,1,10,1.68
0.026305194,288,50,1,50,0.3
0.133742891,339,200,1,200,1.68
0.361523999,442,50,1,50,0.3
0.456273058,441,200,5,200,1.68
0.033834579,408,50,5,20,2.1
4.11E-05,251,50,5,20,2.1
0.003597411,275,75,1,75,1.68
0.224003704,387,200,2,200,0.3
0.157033558,427,67,1,33,1.68
0.278013456,354,200,2,200,1.68
0.001478041,339,50,1,90,1.68
0.18033301,350,200,1,200,0.9
0.359933379,400,200,2,200,1.68
0.006704825,360,50,5,20,2.1
0.036669314,347,50,1,50,2.1
0.018851494,316,200,5,200,1.68
0.178875105,395,75,1,75,1.68
0.048855464,365,33,1,67,1.68
0.034407954,302,200,0.5,200,1.68
0.117246877,381,50,1,50,2.1
-6.09E-05,260,50,5,20,2.1
0.309682905,438,200,2,200,1.68
0.001161557,264,67,1,33,1.68
0.023744341,323,75,1,75,1.68
0.498273472,414,200,1,200,0.9
0.000444651,258,33,1,67,1.68
0.078384788,382,50,1,50,2.1
0.000493647,285,10,1,10,1.68
0.290296427,381,200,0.5,200,1.68
0.04955766,337,100,1,100,0.9
0.01050266,308,50,1,50,1.68
0.010318442,298,75,1,75,1.68
0.090761944,388,67,1,33,1.68
0.343157344,424,200,2,200,1.68
0.032352415,340,50,1,50,1.68
0.042330384,435,50,1,90,1.68
0.200886141,403,75,1,75,1.68
0.004293149,354,50,5,20,2.1
0.117550619,399,33,1,67,1.68
0.008468339,315,50,1,50,2.1
0.184716644,385,50,1,50,0.9
0.008187657,311,67,1,33,1.68
0.00480122,252,200,1,200,1.68
0.092612392,305,200,2,200,1.68
0.147365371,343,200,1,200,1.68
0.022541199,362,25,1,25,1.68
0.000233903,307,50,1,90,1.68
0.116345493,373,75,1,75,1.68
0.256239476,438,50,1,50,1.68
0.254990093,449,100,1,100,1.68
0.153413181,372,200,5,200,1.68
0.001499563,271,67,1,33,1.68
0.194020943,355,200,1,200,1.68
0.018583025,382,50,5,20,2.1
0.002671154,326,10,1,10,1.68
0.016182184,355,25,1,25,1.68
0.022995759,314,100,1,100,0.9
0.036064667,420,50,1,90,1.68
0.01253033,335,33,1,67,1.68
0.404559692,430,200,2,200,0.3
0.023452177,390,50,5,20,2.1
0.045835227,309,200,0.5,200,1.68
0.00092377,341,50,5,20,2.1
0.236663312,362,200,1,200,0.9
0.000646048,257,25,1,25,1.68
0.026914031,402,50,1,90,1.68
0.032859212,297,50,1,50,0.3
0.11035288,326,200,1,200,0.9
0.128759081,385,100,1,100,1.68
0.282751697,410,50,1,50,0.3
0.015856634,311,75,1,75,1.68
0.373287534,408,200,1,200,1.68
0.002702765,274,50,1,50,1.68
0.003578741,251,50,1,50,0.9
0.263921736,367,200,1,200,0.9
0.278410481,375,200,1,200,1.68
0.01194763,311,50,1,50,1.68
0.170042136,436,67,1,33,1.68
0.009074503,275,200,5,200,1.68
0.008545315,301,50,1,50,1.68
0.270477626,396,200,2,200,0.3
0.0024641,283,67,1,33,1.68
0.12741213,337,200,1,200,1.68
0.322846503,447,50,1,50,0.9
0.299358086,426,50,1,50,0.9
0.191937603,406,100,1,100,1.68
0.002259644,281,67,1,33,1.68
0.02336089,329,200,5,200,1.68
4.20E-05,269,50,5,20,2.1
0.152995463,367,50,1,50,0.3
0.01841354,386,50,1,90,1.68
0.047088867,364,33,1,67,1.68
0.073882627,421,10,1,10,1.68
0.023220854,283,50,1,50,0.3
0.002475171,258,200,1,200,1.68
9.66E-05,278,50,1,90,1.68
0.082124796,350,50,1,50,0.9
0.133292679,409,50,1,50,2.1
0.001901807,319,10,1,10,1.68
0.066701108,346,100,1,100,0.9
0.005441524,289,50,1,50,1.68
0.0017952,250,100,1,100,0.9
0.213917861,408,75,1,75,1.68
0.009002372,277,200,2,200,0.3
0.096105463,358,100,1,100,0.9
0.015520726,284,200,0.5,200,1.68
0.006389103,293,50,1,50,1.68
0.010837918,285,50,1,50,0.9
0.219891314,337,200,2,200,1.68
0.000724886,254,100,1,100,1.68
0.000437811,282,10,1,10,1.68
0.035008526,319,200,2,200,0.3
0.040318985,284,200,1,200,1.68
0.253000653,435,50,1,50,1.68
0.000857871,268,33,1,67,1.68
0.264962288,448,200,1,200,1.68
0.200255382,408,50,1,50,1.68
0.000267527,291,50,1,90,1.68
0.040414337,347,50,1,50,1.68
0.038978993,337,75,1,75,1.68
0.011751369,270,200,1,200,0.9
0.122122883,403,50,1,50,2.1
0.053033066,356,50,1,50,2.1
0.044797885,341,75,1,75,1.68
0.00213463,279,50,1,50,2.1
0.000275668,292,50,1,90,1.68
0.002203359,260,100,1,100,0.9
0.395090524,426,200,2,200,0.3
0.040215667,362,50,1,50,2.1
0.081461472,311,200,1,200,1.68
0.005774989,260,200,0.5,200,1.68
0.000843065,299,10,1,10,1.68
0.016786768,379,50,5,20,2.1
0.000142105,281,50,1,90,1.68
0.006923486,271,200,2,200,0.3
0.070747399,360,50,1,50,1.68
0.253423392,372,200,0.5,200,1.68
0.019427081,320,200,5,200,1.68
0.331104464,430,200,2,200,1.68
0.004501166,284,50,1,50,2.1
0.370078662,447,50,1,50,0.3
0.000287444,301,50,1,90,1.68
0.124389679,447,10,1,10,1.68
0.004660569,355,50,5,20,2.1
0.305606053,399,200,5,200,1.68
0.007815137,268,200,0.5,200,1.68
0.336693112,391,200,1,200,1.68
0.071580068,301,200,1,200,1.68
0.013706209,324,67,1,33,1.68
0.051578225,316,50,1,50,0.3
0.062995938,362,50,1,50,1.68
0.04235264,430,50,5,20,2.1
0.165216496,395,50,1,50,1.68
8.11E-05,271,50,5,20,2.1
0.014464911,289,200,2,200,0.3
0.024069357,269,200,2,200,1.68
-0.000208194,316,50,5,20,2.1
0.00129175,267,67,1,33,1.68
0.015440932,337,50,1,50,2.1
0.073846238,378,67,1,33,1.68
0.017381553,384,50,1,90,1.68
0.346219541,433,200,1,200,1.68
0.000208266,264,10,1,10,1.68
0.230191309,421,50,1,50,1.68
0.012613767,320,50,1,50,2.1
0.410623,450,200,2,200,0.3
0.031287029,295,50,1,50,0.3
0.244038701,396,100,1,100,0.9
0.260127612,443,50,1,50,1.68
0.100587722,322,200,1,200,0.9
0.016104836,259,200,2,200,1.68
0.194436704,388,50,1,50,0.9
0.127473859,333,200,1,200,0.9
0.091743003,354,50,1,50,0.9
0.077173713,404,25,1,25,1.68
0.025311818,399,50,1,90,1.68
-8.01E-05,257,50,1,90,1.68
0.092003725,372,50,1,50,2.1
0.007796168,272,200,5,200,1.68
0.041998252,329,200,2,200,0.3
0.197362253,410,50,1,50,2.1
0.16157156,447,50,1,50,2.1
0.174673375,400,100,1,100,1.68
0.348399841,407,200,5,200,1.68
0.258807706,441,50,1,50,1.68
0.084779547,410,25,1,25,1.68
0.003060473,277,50,1,50,1.68
0.119510261,382,100,1,100,1.68
0.264933964,404,50,1,50,0.3
0.004258465,285,50,1,50,1.68
0.00246622,284,50,1,50,2.1
0.036062936,392,10,1,10,1.68
0.006652759,345,10,1,10,1.68
0.332778747,404,200,5,200,1.68
0.019993767,318,75,1,75,1.68
0.29334128,423,50,1,50,0.9
0.158551316,428,67,1,33,1.68
0.21230869,362,200,0.5,200,1.68
0.351038046,382,200,1,200,0.9
0.18579598,353,200,1,200,1.68
0.324171826,407,200,2,200,0.3
0.067308474,343,50,1,50,0.9
0.093851532,418,25,1,25,1.68
0.038521365,418,50,5,20,2.1
0.067801048,297,200,2,200,1.68
0.001019334,255,50,1,50,2.1
0.365928454,426,200,1,200,1.68
0.001403023,259,75,1,75,1.68
0.0148379,283,200,0.5,200,1.68
0.050146155,350,50,1,50,1.68
0.242478843,439,50,1,50,2.1
0.000280768,302,50,1,90,1.68
0.002093807,343,50,1,90,1.68
0.056596756,389,25,1,25,1.68
0.006380539,333,25,1,25,1.68
0.011330375,280,200,5,200,1.68
0.027074989,396,50,5,20,2.1
0.149364672,374,50,1,50,0.9
0.104945369,438,10,1,10,1.68
0.248685985,345,200,2,200,1.68
0.088029294,355,100,1,100,0.9
0.000600671,290,10,1,10,1.68
0.147606273,421,67,1,33,1.68
0.00101117,304,10,1,10,1.68
0.314258304,387,200,0.5,200,1.68
0.176929725,402,50,1,50,2.1
0.446139118,433,200,5,200,1.68
0.158989356,428,50,1,50,2.1
0.000141667,255,10,1,10,1.68
0.022932369,322,75,1,75,1.68
0.129008821,449,10,1,10,1.68
0.060586537,294,200,1,200,1.68
0.027720321,383,10,1,10,1.68
0.215384695,415,100,1,100,1.68
0.456680964,442,200,5,200,1.68
0.073350217,346,50,1,50,0.9
0.257649119,370,200,1,200,1.68
0.327189397,373,200,2,200,1.68
0.125960377,405,50,1,50,2.1
0.150314479,385,75,1,75,1.68
0.014201351,316,50,1,50,1.68
0.034146418,291,200,1,200,0.9
0.040834386,431,50,1,90,1.68
0.021550511,280,50,1,50,0.3
0.050531017,368,50,1,50,2.1
0.366812333,445,50,1,50,0.3
0.014391056,308,75,1,75,1.68
0.089925913,363,75,1,75,1.68
0.000830094,261,100,1,100,1.68
0.231407908,386,200,5,200,1.68
0.013175432,296,100,1,100,0.9
0.04876061,288,200,1,200,1.68
0.044570699,442,50,1,90,1.68
0.053407973,407,10,1,10,1.68
0.265391259,434,75,1,75,1.68
0.044563769,286,200,1,200,1.68
0.124378412,336,200,1,200,1.68
0.031253495,354,33,1,67,1.68
0.025773292,277,200,1,200,1.68
0.013188632,323,67,1,33,1.68
0.075987215,379,33,1,67,1.68
0.019542496,344,33,1,67,1.68
0.001084359,262,67,1,33,1.68
0.165307227,379,50,1,50,0.9
0.089493573,414,25,1,25,1.68
0.251557881,436,100,1,100,1.68
0.002461088,345,50,1,90,1.68
0.018695295,313,200,5,200,1.68
0.003704853,253,50,1,50,0.9
0.106568233,382,50,1,50,1.68
0.28566267,411,50,1,50,0.3
0.009433212,266,200,1,200,0.9
0.172713282,438,67,1,33,1.68
0.179598577,403,50,1,50,2.1
0.212332961,335,200,2,200,1.68
0.077461756,334,50,1,50,0.3
0.004579516,337,10,1,10,1.68
0.348476568,396,200,0.5,200,1.68
0.241733767,420,75,1,75,1.68
0.00596306,256,200,1,200,0.9
0.00031896,282,50,5,20,2.1
0.000315838,274,10,1,10,1.68
0.00168368,271,100,1,100,1.68
0.00756637,290,75,1,75,1.68
0.292488379,372,200,1,200,0.9
0.014447701,375,50,5,20,2.1
0.00016854,259,10,1,10,1.68
0.075515281,422,10,1,10,1.68
0.115524928,398,33,1,67,1.68
0.004095493,352,50,1,90,1.68
0.043171688,446,50,5,20,2.1
0.088987933,387,50,1,50,2.1
0.00172006,269,50,1,50,2.1
0.074526185,402,25,1,25,1.68
0.000295972,296,50,1,90,1.68
0.026026546,350,33,1,67,1.68
0.006625508,269,200,5,200,1.68
0.000528225,329,50,1,90,1.68
0.001304461,257,50,1,50,1.68
0.000750737,282,25,1,25,1.68
0.011769143,269,200,1,200,1.68
0.229333956,426,50,1,50,2.1
0.138053598,388,100,1,100,1.68
0.137480469,388,50,1,50,2.1
0.011653322,370,50,5,20,2.1
0.076552662,323,200,0.5,200,1.68
0.021586158,266,200,2,200,1.68
0.005534978,341,10,1,10,1.68
0.027390248,313,50,1,50,0.9
0.002055557,274,100,1,100,1.68
0.042704617,357,67,1,33,1.68
